baobeirequesttime,method,responseStatus,time,userId,accessTerminal
30/Dec/2019:20:01:55,/goods/member/discount/goods/list.htm,200,565,144387,1
30/Dec/2019:20:01:55,/redpacket/userAccount.htm,200,412,144387,1
30/Dec/2019:20:01:55,/redpacket/checkRedpacket.htm,200,452,144387,1
30/Dec/2019:20:01:55,/rest,200,353,144387,1
30/Dec/2019:20:01:55,/user/getHomeBottonImg.htm,200,507,144387,1
30/Dec/2019:20:01:55,/goods/category/goods/list.htm,200,1605,144386,1
30/Dec/2019:20:01:55,/redpacket/userAccount.htm,200,387,,1
30/Dec/2019:20:01:55,/rest,200,385,144387,1
30/Dec/2019:20:01:55,/redpacket/checkRedpacket.htm,200,370,144387,1
30/Dec/2019:20:01:55,/redpacket/checkRedpacket.htm,200,370,144387,3
30/Dec/2019:20:01:54,/user/wxBangPhone.htm,200,886,,1
30/Dec/2019:20:01:54,/goods/category/goods/list.htm,200,1674,,1
30/Dec/2019:20:01:54,/goods/act/tab/goods/list.htm,200,1922,,1
30/Dec/2019:20:01:54,/goods/act/tab/goods/list.htm,200,1922,,3
30/Dec/2019:20:01:54,/goods/act/tab/goods/list.htm,200,1922,,3
30/Dec/2019:20:01:54,/goods/act/tab/goods/list.htm,200,1922,,3
30/Dec/2019:20:01:53,/rest,200,512,144386,1
30/Dec/2019:20:01:53,/rest,200,512,144386,2
30/Dec/2019:20:01:53,/rest,200,793,,1
30/Dec/2019:20:01:52,/redpacket/checkRedpacket.htm,200,540,144386,1
30/Dec/2019:20:01:52,/limitRedpacket/getLimitInfoList.htm,200,184,139954,1
30/Dec/2019:20:01:52,/redpacket/userAccount.htm,200,175,139954,1
30/Dec/2019:20:01:52,/user/getHomeBottonImg.htm,200,764,,1
30/Dec/2019:20:01:52,/limit/time/snatch/goods/list.htm,200,836,144386,1
30/Dec/2019:20:01:52,/ads/get.htm,200,801,144386,1
30/Dec/2019:20:01:52,/limit/time/snatch/goods/list.htm,200,546,,1
30/Dec/2019:20:01:52,/limitRedpacket/getLimitInfoList.htm,200,527,144385,1
30/Dec/2019:20:01:52,/ads/get.htm,200,540,,1
30/Dec/2019:20:01:52,/user/getHomeBottonImg.htm,200,496,144386,1
30/Dec/2019:20:01:52,/redpacket/unaccalimedRedpackt.htm,200,494,144386,1
30/Dec/2019:20:01:52,/rest,200,398,,1
30/Dec/2019:20:01:52,/rest,200,594,144386,1
30/Dec/2019:20:01:51,/goods/member/discount/goods/list.htm,200,800,,1
30/Dec/2019:20:01:52,/redpacket/unaccalimedRedpackt.htm,200,510,144386,1
30/Dec/2019:20:01:52,/redpacket/checkRedpacket.htm,200,543,144386,1
30/Dec/2019:20:01:52,/redpacket/userAccount.htm,200,545,,1
30/Dec/2019:20:01:52,/goods/act/tab/goods/list.htm,200,965,,1
30/Dec/2019:20:01:52,/rest,200,733,144386,1
30/Dec/2019:20:01:52,/redpacket/userAccount.htm,200,502,144386,1
30/Dec/2019:20:01:52,/redpacket/userAccount.htm,200,492,144386,1
30/Dec/2019:20:01:51,/goods/category/tab/list.htm,200,846,,1
30/Dec/2019:20:01:52,/goods/member/discount/goods/list.htm,200,838,144386,1
30/Dec/2019:20:01:52,/redpacket/userAccount.htm,200,684,144385,1
30/Dec/2019:20:01:52,/goods/category/tab/list.htm,200,845,144386,1
30/Dec/2019:20:01:52,/goods/category/tab/list.htm,200,845,144386,3
